,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
01 Andalucía,9258.0,9116.0,8398.0,7942.0,8079.0,8408.0,8845.0,8764.0,9293.0,9406.0,9007.0
02 Aragón,11990.0,12110.0,11649.0,12427.0,12037.0,12022.0,11904.0,11657.0,11968.0,12411.0,11485.0
03 Asturias,12085.0,12244.0,12060.0,11427.0,11251.0,11211.0,11767.0,11779.0,12589.0,12630.0,11880.0
04 Balears,13240.0,12665.0,12222.0,10828.0,10660.0,10386.0,11005.0,11126.0,11485.0,11821.0,11229.0
05 Canarias,8964.0,8863.0,8702.0,8640.0,8302.0,8513.0,8423.0,8610.0,9202.0,8932.0,8902.0
06 Cantabria,11239.0,11293.0,10670.0,10494.0,9824.0,9843.0,10388.0,10495.0,11083.0,12184.0,11232.0
07 Castilla y León,11949.0,11239.0,10815.0,10570.0,10406.0,10760.0,10855.0,10841.0,10946.0,11147.0,10488.0
08 Castilla - La Mancha,9533.0,9045.0,8731.0,8498.0,8545.0,8425.0,8878.0,9105.0,9892.0,9631.0,9064.0
09 Cataluña,13338.0,12712.0,12660.0,12283.0,12205.0,12111.0,12199.0,12209.0,12890.0,12733.0,12436.0
10 Comunitat Valenciana,10232.0,9801.0,9265.0,9098.0,9144.0,9375.0,9965.0,10236.0,10555.0,10502.0,9864.0
11 Extremadura,8503.0,8250.0,8674.0,8469.0,7729.0,8224.0,8238.0,8725.0,8897.0,9028.0,8107.0
12 Galicia,11239.0,10753.0,10439.0,10212.0,10235.0,10106.0,10266.0,10370.0,10504.0,10026.0,9482.0
13 Madrid,13279.0,13099.0,12647.0,12534.0,12597.0,12823.0,13155.0,13192.0,13436.0,13564.0,12496.0
14 Murcia,9111.0,8702.0,8273.0,7924.0,7767.0,8253.0,8474.0,8437.0,8818.0,9150.0,9119.0
15 Navarra,13585.0,13583.0,13408.0,13300.0,13221.0,13608.0,14041.0,14301.0,14276.0,14175.0,13123.0
16 País Vasco,14722.0,14397.0,14345.0,13836.0,14281.0,14312.0,13857.0,14046.0,14468.0,14838.0,14038.0
17 Rioja,12029.0,12131.0,11589.0,11132.0,11120.0,10686.0,11270.0,10712.0,10756.0,11387.0,10916.0
18 Ceuta,9784.0,9676.0,9435.0,8512.0,8712.0,9336.0,9990.0,10030.0,9616.0,8702.0,8047.0
19 Melilla,12507.0,10161.0,10883.0,10027.0,11619.0,11313.0,11761.0,11981.0,11459.0,11048.0,11065.0
